"","storm_number","storm_name","typea","datesb_utc","max_winds_kt","min_pressure_mb","accumulated_cyclone_energyc_x104_kt2","direct_deathsd","u_s_damagee_million","tropical_cyclone_report_status","year","basin","source"
"1",1,"Unnamed","TS","02 Jul–05 Jul",45,1000,1.3,NA,NA,NA,1991,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1991&basin=atl"
"2",2,"Unnamed","TD","05 Jul–07 Jul",30,NA,0,NA,NA,NA,1991,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1991&basin=atl"
"3",3,"Bob","MH","16 Aug–20 Aug",100,950,8,NA,NA,NA,1991,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1991&basin=atl"
"4",4,"Unnamed","TD","24 Aug–26 Aug",30,NA,0,NA,NA,NA,1991,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1991&basin=atl"
"5",5,"Unnamed","TD","28 Aug–31 Aug",30,NA,0,NA,NA,NA,1991,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1991&basin=atl"
"6",6,"Claudette","MH","04 Sep–12 Sep",115,944,14,NA,NA,NA,1991,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1991&basin=atl"
"7",7,"Danny","TS","07 Sep–11 Sep",45,998,2.1,NA,NA,NA,1991,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1991&basin=atl"
"8",8,"Erika","TS","08 Sep–12 Sep",50,997,2,NA,NA,NA,1991,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1991&basin=atl"
"9",9,"Fabian","TS","15 Oct–16 Oct",40,1002,0.8,NA,NA,NA,1991,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1991&basin=atl"
"10",10,"Unnamed","TD","24 Oct–25 Oct",25,NA,0,NA,NA,NA,1991,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1991&basin=atl"
"11",11,"Grace","HU","25 Oct–29 Oct",90,980,5,NA,NA,NA,1991,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1991&basin=atl"
"12",12,"Unnamed","HU","31 Oct–02 Nov",65,980,2.5,NA,NA,NA,1991,"Atlantic","https://www.nhc.noaa.gov/data/tcr/index.php?season=1991&basin=atl"
"13",1,"Andres","TS","16 May–20 May",55,994,2.5,NA,NA,NA,1991,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1991&basin=epac"
"14",2,"Blanca","TS","14 Jun–22 Jun",55,994,3.5,NA,NA,NA,1991,"Eastern Pacific","https://www.nhc.noaa.gov/data/tcr/index.php?season=1991&basin=epac"
